prosperity_index,house_is,price,rooms_number,area,equipped_kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,swimming_pool_has,property_subtype_APARTMENT_BLOCK,property_subtype_DUPLEX,property_subtype_GROUND_FLOOR,property_subtype_HOUSE,property_subtype_MIXED_USE_BUILDING,property_subtype_OTHER,property_subtype_PENTHOUSE,property_subtype_VILLA,region_F,region_W,building_state_agg_renovated,building_state_agg_to_renovate
81.0,1,365000.0,3.0,176.0,1,0,0,1,70.0,1,247.0,300.0,1,0,0,0,1,0,0,0,0,0,1,0,0
81.0,1,85000.0,2.0,110.0,1,0,0,0,0.0,0,0.0,237.0,0,0,0,0,1,0,0,0,0,0,1,0,0
81.0,1,127500.0,2.0,115.0,1,0,0,1,30.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,1
81.0,1,299000.0,4.0,259.0,1,0,0,1,74.0,1,500.0,810.0,0,0,0,0,0,0,1,0,0,0,1,0,1
81.0,1,495000.0,4.0,257.0,1,0,0,1,0.0,0,0.0,866.0,0,0,0,0,0,0,0,0,1,0,1,0,0
81.0,1,129000.0,4.0,185.0,0,0,0,1,21.0,0,0.0,85.0,0,0,0,0,1,0,0,0,0,0,1,0,1
81.0,1,175000.0,2.0,98.0,1,0,0,1,20.0,0,0.0,148.0,0,0,0,0,1,0,0,0,0,0,1,0,0
81.0,1,39000.0,1.0,32.0,1,0,0,0,0.0,0,0.0,16.0,0,0,0,0,1,0,0,0,0,0,1,0,1
81.0,1,49000.0,1.0,44.0,1,0,0,0,0.0,0,0.0,22.0,0,0,0,0,1,0,0,0,0,0,1,0,1
81.0,1,87500.0,2.0,67.0,1,0,0,1,10.0,1,20.0,57.0,0,0,0,0,1,0,0,0,0,0,1,0,1
81.0,1,171000.0,3.0,120.0,1,0,0,0,0.0,1,60.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,1
81.0,1,120000.0,3.0,150.0,1,0,0,0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,1
81.0,1,97500.0,2.0,100.0,1,0,0,0,0.0,1,100.0,175.0,0,0,0,0,1,0,0,0,0,0,1,0,1
81.0,0,185000.0,2.0,85.0,1,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1
81.0,0,145000.0,2.0,88.0,1,0,0,1,9.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0
81.0,0,110000.0,2.0,71.0,1,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1
81.0,0,580000.0,3.0,153.0,1,0,0,1,80.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
81.0,0,135000.0,2.0,65.0,1,1,0,1,4.0,1,50.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0
81.0,0,234000.0,2.0,95.0,1,0,0,1,3.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0
81.0,0,200000.0,2.0,77.0,1,0,0,1,2.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0
81.0,0,420000.0,3.0,180.0,1,0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0
81.0,0,110000.0,2.0,70.0,1,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1
81.0,0,135000.0,2.0,110.0,1,0,1,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0
81.0,0,99000.0,1.0,29.0,1,0,0,1,12.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,1
81.0,0,108000.0,1.0,65.0,1,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0
81.0,0,235000.0,2.0,130.0,1,0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0
81.0,0,360000.0,2.0,109.0,1,0,0,1,16.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
81.0,0,328000.0,2.0,110.0,1,0,0,1,9.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0
81.0,0,79000.0,0.0,30.0,1,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0
81.0,0,159000.0,2.0,94.0,1,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0
81.0,0,180000.0,2.0,97.0,1,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0
81.0,0,190000.0,3.0,103.0,1,0,0,1,2.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0
81.0,0,70000.0,0.0,41.0,1,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0
81.0,0,225000.0,4.0,125.0,1,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1
81.0,0,115000.0,2.0,75.0,1,0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0
81.0,0,139000.0,2.0,89.0,1,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1
81.0,0,222727.0,2.0,84.0,0,0,0,1,12.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0
81.0,0,290833.0,3.0,115.0,0,0,0,1,27.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
95.0,1,545000.0,4.0,235.0,1,1,0,0,0.0,0,0.0,63.0,0,0,0,0,1,0,0,0,0,0,0,1,0
95.0,1,1750000.0,7.0,550.0,1,0,0,1,20.0,1,60.0,270.0,0,1,0,0,0,0,0,0,0,0,0,0,0
95.0,1,550000.0,4.0,180.0,1,0,0,1,4.0,1,44.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
95.0,1,550000.0,3.0,160.0,0,0,0,1,4.0,1,44.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0
95.0,1,2850000.0,15.0,2300.0,1,0,0,1,40.0,0,0.0,1633.0,0,0,0,0,0,1,0,0,0,0,0,0,1
95.0,1,775000.0,5.0,220.0,0,0,0,1,40.0,0,0.0,185.0,0,1,0,0,0,0,0,0,0,0,0,0,0
95.0,1,1500000.0,10.0,600.0,1,0,0,1,20.0,1,250.0,700.0,0,1,0,0,0,0,0,0,0,0,0,0,0
95.0,1,1195000.0,5.0,302.0,1,0,0,1,10.0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0
95.0,1,875000.0,5.0,226.0,0,0,0,1,25.0,1,150.0,273.0,0,1,0,0,0,0,0,0,0,0,0,0,0
95.0,1,720000.0,5.0,290.0,1,0,0,1,10.0,0,0.0,200.0,0,1,0,0,0,0,0,0,0,0,0,0,1
95.0,1,1679000.0,10.0,520.0,0,0,0,0,0.0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0
95.0,1,590000.0,3.0,300.0,1,0,0,0,0.0,0,0.0,130.0,0,0,0,0,1,0,0,0,0,0,0,0,1
95.0,1,790000.0,3.0,201.0,1,0,0,1,11.0,1,36.0,170.0,0,0,0,0,1,0,0,0,0,0,0,0,1
95.0,1,645000.0,6.0,265.0,1,0,0,1,14.0,1,50.0,135.0,0,0,0,0,1,0,0,0,0,0,0,0,1
95.0,1,715000.0,4.0,186.0,1,0,0,1,30.0,1,210.0,300.0,0,0,0,0,1,0,0,0,0,0,0,0,0
