Administratieve Eenheid,Welvaartsindex
Sint-Niklaas (Sint-Niklaas),98
Stekene,109
Temse,106
Provincie Henegouwen,87
Arrondissement Aat,98
Aat,100
Beloeil,93
Bernissart,91
Brugelette,91
Chièvres,96
Elzele,102
Vloesberg,104
Frasnes-lez-Anvaing,99
Edingen,106
Opzullik,112
Lessen,92
Arrondissement Charleroi,80
Chapelle-lez-Herlaimont,86
Charleroi,72
Châtelet,75
Courcelles,83
Farciennes,64
Fleurus,87
Fontaine-l’Evêque,84
Gerpinnes,116
Montigny-le-Tilleul,115
Pont-à-Celles,105
Aiseau-Presles,86
Les Bons Villers,110
Arrondissement Bergen,86
Boussu,77
Dour,82
Frameries,83
Hensies,86
Jurbeke,112
Lens,99
Bergen,88
Quaregnon,75
Quiévrain,80
Saint-Ghislain,95
Colfontaine,72
Honnelles,100
Quévy,105
Arrondissement Zinnik,95
’s Gravenbrakel,100
Le Roeulx,105
Zinnik,96
Ecaussinnes,96
Seneffe,107
Manage,81
Arrondissement Thuin,94
Anderlues,83
Beaumont,92
Chimay,84
Erquelinnes,82
Froidchapelle,85
Lobbes,103
Merbes-le-Château,91
Momignies,77
Thuin,103
Ham-sur-Heure-Nalinnes,119
Sivry-Rance,89
Arrondissement Doornik-Moeskroen,90
Antoing,87
Celles (Doornik),95
Estaimpuis,94
Pecq,96
Péruwelz,87
Rumes,92
Doornik,96
Brunehaut,91
Leuze-en-Hainaut,95
Mont-de-l’Enclus,101
Moeskroen,83
Komen-Waasten,82
Arrondissement La Louvière,83
La Louvière,79
Binche,88
Estinnes,98
Morlanwelz,87
Provincie Luik,93
Arrondissement Hoei,101
Amay,91
Burdinne,114
Clavier,103
Ferrières,104
Hamoir,95
Héron,108
Hoei,93
Marchin,100
Modave,107
Nandrin,127
Ouffet,100
Verlaine,113
Villers-Le-Bouillet,107
Wanze,105
Anthisnes,109
Engis,85
Tinlot,112
Arrondissement Luik,89
Ans,89
Awans,106
Aywaille,98
Bitsingen,101
Beyne-Heusay,88
Chaudfontaine,129
Comblain-au-Pont,90
Dalhem,111
Esneux,121
Fléron,92
Herstal,78
Juprelle,107
Luik,81
Oupeye,96
Saint-Nicolas (Luik),73
Seraing,76
Soumagne,98
Sprimont,114
Wezet,94
Grâce-Hollogne,83
Blegny,108
Flémalle,88
Neupré,132
Trooz,100
Arrondissement Verviers,93
Amel,93
Aubel,106
Baelen,103
Büllingen,91
Bütgenbach,91
Dison,67
Eupen,98
Herve,103
Jalhay,113
Kelmis,88
Lierneux,92
Limburg,93
Lontzen,100
Malmedy,94
Olne,116
Pepinster,91
Raeren,107
Sankt Vith,100
Spa,96
Stavelot,94
Stoumont,103
Theux,108
Verviers,77
Weismes,94
Welkenraedt,98
Trois-Ponts,91
Burg-Reuland,93
Plombières,92
Thimister-Clermont,107
Arrondissement Borgworm,107
Berloz,107
Braives,108
Crisnée,112
Donceel,117
Fexhe-le-Haut-Clocher,110
Geer,109
Hannuit,107
Lijsem,110
Oerle,105
Remicourt,111
Saint-Georges-sur-Meuse,97
Borgworm,104
Wasseiges,99
Faimes,115
Provincie Limburg,100
Arrondissement Hasselt,103
As,103
Beringen,94
Diepenbeek,108
Genk,91
Gingelom,107
Halen,107
Hasselt,113
Herk-de-Stad,110
Leopoldsburg,97
Lummen,110
Nieuwerkerken (Hasselt),104
Sint-Truiden,105
Tessenderlo,110
Zonhoven,107
Zutendaal,109
Ham,103
Heusden-Zolder,96
Arrondissement Maaseik,97
Bocholt,94
Bree,99
Kinrooi,93
Lommel,100
Maaseik,98
Peer,99
Hamont-Achel,92
Hechtel-Eksel,98
Houthalen-Helchteren,91
Dilsen-Stokkem,93
Oudsbergen,99
Pelt,100
Arrondissement Tongeren,99
Alken,111
Bilzen,101
Borgloon,102
Heers,98
Herstappe,105
Hoeselt,102
Kortessem,108
Lanaken,102
Riemst,98
Tongeren,101
Wellen,106
Maasmechelen,85
Voeren,97
Provincie Luxemburg,98
Arrondissement Aarlen,110
Aarlen,116
Attert,134
Aubange,88
Martelange,93
Messancy,118
Arrondissement Bastenaken,91
Bastenaken,92
Bertogne,92
Fauvillers,99
Houffalize,93
Vielsalm,89
Vaux-sur-Sûre,93
Gouvy,86
Sainte-Ode,86
Arrondissement Marche-en-Famenne,92
Durbuy,90
Erezée,94
Hotton,88
La Roche-en-Ardenne,90
Marche-en-Famenne,93
Nassogne,92
Rendeux,89
Tenneville,96
Manhay,98
Arrondissement Neufchâteau,93
Bertrix,88
Bouillon,89
Daverdisse,84
Herbeumont,92
Léglise,100
Libin,96
Neufchâteau (Neufchâteau),97
Paliseul,89
Saint-Hubert,93
Tellin,95
Wellin,91
Libramont-Chevigny,97
Arrondissement Virton,101
Chiny,94
Etalle,116
Florenville,92
Meix-devant-Virton,96
Musson,99
Saint-Léger (Virton),111
Tintigny,99
Virton,95
Habay,110
Rouvroy,94
Provincie Namen,97
Arrondissement Dinant,93
Anhée,96
Beauraing,87
Bièvre,84
Ciney,95
Dinant,89
Gedinne,87
Hamois,100
Havelange,95
Houyet,90
Onhaye,94
Rochefort,91
Somme-Leuze,93
Yvoir,107
Hastière,81
Vresse-sur-Semois,85
Arrondissement Namen,100
Andenne,91
Assesse,110
Eghezée,109
Floreffe,105
Fosses-la-Ville,98
Gesves,109
Mettet,99
Namen,99
Ohey,98
Profondeville,109
Sombreffe,102
Sambreville,88
Fernelmont,111
Jemeppe-sur-Sambre,94
La Bruyère,117
Gembloux,110
Arrondissement Philippeville,91
Cerfontaine,92
Couvin,83
Doische,86
Florennes,92
Philippeville,91
Walcourt,101
Viroinval,84
